Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,CV Score
RandomForest,0.9933584060174442,0.991714233106242,0.9929941002949852,0.9923537540304007,0.9990660242719519,0.9943050546076597
XGBoost,0.9932783868128351,0.992619926199262,0.9918879056047197,0.9922537808926596,0.999364546697379,0.9940655331252233
LightGBM,0.9930383291990078,0.991889400921659,0.9920722713864307,0.9919808277260577,0.9992091012938397,0.9942658571693584
Stacking,0.9929583099943986,0.9915254237288136,0.9922566371681416,0.9918908956874309,0.9991505437187495,0.9940874341393503
CatBoost,0.9919980795390894,0.9929629629629629,0.9885693215339233,0.9907612712490761,0.9990680183313753,0.992767151853392
